category;urun;ingredients;Fiyat
Baslangiclar;Nachos;El yapimi tortilla cips, cheddar, yesil sogan, jalapenos, siyah zeytin;120 
Baslangiclar;Mozzarella cubuklari;Pane mozzarella cubuklari, pesto sos;115 
Baslangiclar;Tavuk Kanatlari;"Pane tavuk kanatlari; sos secenekleri: BBQ, hardal, ketcap, mayonez";125 
Baslangiclar;Karides Tava;Jumbo karides, sarimsak, tereyagi, limon suyu, baharatlar;150 
Baslangiclar;Falafel Tabagi;Falafel koftesi, humus, tahin sos, salata;75 
Baslangiclar;Sebzeli Spring Roll;Havuc, kabak, lahana, pirinc yufkasi, tatli eksi sos;70 
Corbalar;Mercimek corbasi;Kirmizi mercimek, patates, havuc, sogan, sarimsak, zeytinyagi, tavuk suyu, kimyon, tuz, karabiber;40 
Corbalar;Kremali Mantar corbasi;Taze mantar, sogan, sarimsak, krema, tereyagi, un, sut, tavuk suyu, tuz, karabiber;45 
Corbalar;Domates corbasi;Domates, salca, sogan, sarimsak, un, sut, sebze suyu, tereyagi, tuz, karabiber, feslegen;40 
Corbalar;Tavuk Suyu corbasi;Tavuk suyu, haslanmis tavuk, arpa sehriye, havuc, patates, kereviz, maydanoz;50 
Corbalar;Balkabagi corbasi;Balkabagi, sogan, sarimsak, krema, zeytinyagi, tavuk suyu, muskat, tuz, karabiber;55 
Pizzalar;Peynirli Tavuk Pizza;Tavuk, cheddar, rokfor, mantar, sarimsak sos;110 
Pizzalar;Etli Pizza;Jambon, tavuk, bacon, mozzarella, beyaz sos;145 
Pizzalar;Vegan Pizza;Domates, mantar, tatli biber, sogan, feslegen, vegan mozzarella, kirmizi sos;85 
Pizzalar;Acili Deniz Pizza;Karides, somon, domates, mozzarella, beyaz sos;145 
Pizzalar;Margarita Pizza;Domates, mozzarella, feslegen, zeytinyagi;85 
Hamburgerler;Klasik Burger;Dana kofte, cheddar, domates, sogan, marul, BBQ sos;115 
Hamburgerler;Cheeseburger;Dana kofte, cheddar, izgara sogan, tursu, ketcap, hardal;115 
Hamburgerler;Siyah Burger;Siyah fasulye koftesi, krem peynir, marul, sogan, domates, tursu;95 
Hamburgerler;Tavuk Burger;citir tavuk, cheddar, domates, tatli sogan, sarimsak sos;100 
Hamburgerler;Acili Burger;Dana kofte, jalapenos, aci sos, cheddar, marul;120 
Ana Yemekler;izgara Tavuk;izgara tavuk gogsu, sebze garnituru, sarimsakli patates puresi;130 
Ana Yemekler;Antrikot;ozel marine edilmis antrikot, kozlenmis sebzeler, patates puresi;190 
Ana Yemekler;Somon izgara;Taze limon soslu izgara somon, izgara sebzeler;180 
Ana Yemekler;Falafel Tabagi;Falafel kofteleri, humus, tahin sos;75 
Ana Yemekler;Sebzeli Guvec;Firinlanmis taze sebzeler, domates sos;85 
Tatlilar;Sufle;Belcika cikolatasi, tereyagi, un, yumurta;65
Tatlilar;Tiramisu;Mascarpone, espresso, ozel biskuvi;85 
Tatlilar;Cheesecake;Krema peynir, biskuvi tabani, meyve sosu;80 
Tatlilar;Firin Sutlac;Sut, pirinc, seker, tarcin;50 

